epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,808.972,1.8337,1.39021,1.38223,0.83444,0.78947,0.8607,0.25543,2.64599,1.17952,1.75169,0.000663333,0.000663333,0.000663333
2,1655.13,1.45236,0.89448,1.18351,0.90867,0.83308,0.91239,0.48777,1.52326,0.93245,1.19618,0.00119833,0.00119833,0.00119833
3,2454.9,1.4008,0.81729,1.1569,0.91771,0.84951,0.91943,0.51591,1.40802,0.88517,1.15557,0.00160133,0.00160133,0.00160133
4,3219.86,1.36366,0.77485,1.14685,0.9325,0.85468,0.9327,0.52933,1.41879,0.79269,1.15546,0.001406,0.001406,0.001406
5,3954.62,1.3099,0.73691,1.12224,0.92632,0.86858,0.9361,0.51725,1.49671,0.80622,1.17381,0.001208,0.001208,0.001208
6,4687.74,1.27592,0.71208,1.09986,0.93441,0.87081,0.93825,0.55255,1.33843,0.74807,1.12507,0.00101,0.00101,0.00101
7,5421.09,1.24529,0.69281,1.08957,0.93161,0.88409,0.94081,0.5542,1.32818,0.74142,1.12391,0.000812,0.000812,0.000812
8,6155.31,1.23533,0.68314,1.08794,0.94397,0.87351,0.9414,0.55911,1.32435,0.73073,1.1216,0.000614,0.000614,0.000614
9,6887.85,1.22311,0.66867,1.08563,0.94258,0.8776,0.94308,0.54886,1.35621,0.72044,1.13316,0.000416,0.000416,0.000416
10,7620.23,1.20754,0.65389,1.07647,0.94667,0.87805,0.94528,0.5627,1.30119,0.70863,1.10826,0.000218,0.000218,0.000218
